,municipios,quantidade_ucs,estabelecimentos,area_coberta,delta_pib,delta_populacao,delta_massa_salarial,area_coberta_class,delta_pib_class,delta_populacao_class,delta_massa_salarial_class
134,JARAGUÁ DO SUL,2,396,171,4468437000,35391,77016625.53000002,low,good,good,good
217,RIO DOS CEDROS,1,446,130,213756900,1420,4107784.4000000004,low,low,low,low
4,ÁGUA DOCE,2,1026,109,340374300,181,1977900.0700000003,low,low,low,low
204,PORTO UNIÃO,3,2369,96,532030400,1924,6425834.3100000005,low,moderate,moderate,moderate
8,ALFREDO WAGNER,4,666,95,187487900,633,941886.6700000002,low,low,low,low
53,CAMPO ALEGRE,1,6283,86,362419900,224,8253370.800000001,low,low,low,moderate
75,CRICIÚMA,1,874,84,4934433000,23322,74024264.98,low,good,good,good
29,BALNEÁRIO PIÇARRAS,1,7159,74,939753700,6220,6277670.219999999,low,moderate,good,moderate
247,SÃO JOAQUIM,1,1769,49,527620700,2175,4364031.41,low,moderate,moderate,moderate
203,PORTO BELO,4,178,41,766261000,5436,8602153.59,none,moderate,moderate,moderate
269,TIMBÓ,1,902,36,1092443000,7633,21265189.589999996,none,moderate,good,good
248,SÃO JOSÉ,1,563,26,6387885000,37594,125632529.05,none,high,high,high
27,BALNEÁRIO CAMBORIÚ,3,228,23,3477484000,35048,52242308.580000006,none,good,good,good
216,RIO DO SUL,2,1421,23,1566793000,10075,24137179.72,none,good,good,good
13,ANITÁPOLIS,2,7180,22,25903860,15,320579.82,none,none,none,none
256,SÃO PEDRO DE ALCÂNTARA,1,400,20,51826790,1145,46646.109999999986,none,none,low,none
31,BANDEIRANTE,1,225,17,79339190,-238,560295.9,none,none,none,none
287,VIDEIRA,1,317,16,1645463000,5992,24606444.82,none,good,moderate,good
25,BALNEÁRIO ARROIO DO SILVA,1,4959,14,112396850,3572,487495.88,none,low,moderate,none
169,NAVEGANTES,1,1758,13,3547836000,21439,30493420.639999997,none,good,good,good
78,CURITIBANOS,1,531,10,957746000,2015,9727710.190000001,none,moderate,moderate,moderate
230,SANTA ROSA DE LIMA,1,119,9,33682620,77,225316.13,none,none,low,none
147,LEOBERTO LEAL,1,891,7,67840460,-337,181363.39999999997,none,none,none,none
179,PAIAL,1,246,6,25297280,-267,223493.56,none,none,none,none
212,RANCHO QUEIMADO,1,495,5,82573900,130,705164.51,none,none,low,none
153,MAFRA,1,4324,5,1105293000,3420,12644053.070000002,none,moderate,moderate,moderate
103,GUARUJÁ DO SUL,1,371,4,112569360,253,899225.07,none,low,low,low
130,ITUPORANGA,1,30069,3,663959700,2893,8103212.69,none,moderate,moderate,moderate
102,GUARAMIRIM,2,181,3,1001537000,9879,16803897.31,none,moderate,good,good
144,LAURENTINO,1,428,2,216153500,986,2227830.37,none,low,low,low
