Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SÃO JOSÉ,5115255000,6043045000,6491228000,7661755000,8720751000,9102994000,9885438000,10136637000,10607483000,11290448000,11503140000
SÃO JOSÉ DO CEDRO,238780700,267327200,288646300,332574500,319664800,323367400,386050900,389555600,409457900,418052000,485964000
SÃO JOSÉ DO CERRITO,92018620,88958730,105519600,238406600,229292200,198892600,282672800,228025000,249339600,262282000,194120000
SÃO LOURENÇO DO OESTE,450919800,580336700,593782400,708563900,762481100,739851000,806590700,839371200,960833900,1112706000,1192246000
SÃO LUDGERO,337295800,395682800,430404100,558071600,583232100,596577800,588317700,582933900,636350300,694910000,772368000
SÃO MARTINHO,47951090,55134560,60013850,63676070,70528450,68371260,76439180,75106770,81324960,81160000,89609000
SÃO MIGUEL DA BOA VISTA,22193440,20326000,22164920,27242710,30576270,29729490,34731750,34044230,36642240,39544000,47545000
SÃO MIGUEL DO OESTE,898067100,1024749000,1146401000,1286907000,1292020000,1276724000,1356167000,1449729000,1521972000,1675133000,1810750000
SÃO PEDRO DE ALCÂNTARA,41325210,43798600,49626860,52531500,57104940,68109630,73636710,71308840,80862720,87589000,93152000
SAUDADES,190421000,214263500,242754500,270974400,248760800,267730800,282391700,324686900,321903400,384604000,411702000
SCHROEDER,267424200,312350200,333701400,390321700,425795700,392659500,424299700,483796100,499669800,524879000,608470000
SEARA,474759200,453236500,504659100,534295800,736786100,756414900,756693700,812914100,799912600,896557000,1014880000
SERRA ALTA,77421010,100814200,103339900,109336000,89135670,100351100,109147500,77387950,81305770,87123000,97517000
SIDERÓPOLIS,276478200,293505800,261649300,416706400,477141400,503538600,407226700,458519200,466716900,525771000,615207000
SOMBRIO,439222300,473403300,504671700,526865900,589341800,615206100,675326100,752081700,785293200,803393000,783607000
SUL BRASIL,69654860,75311320,78097580,85060740,59862290,74191370,82098320,51487240,56385680,63196000,75279000
TAIÓ,343181500,366092900,439863200,413939200,479103000,493008700,525021900,573678500,599958700,667409000,718776000
TANGARÁ,230221000,253416700,251501600,292343000,348965100,355578600,394759800,411972100,409469400,437886000,478595000
TIGRINHOS,18899250,22231340,22477970,29125490,30170850,32105470,36463090,37668010,42286820,60606000,50565000
TIJUCAS,692919900,831267200,954874900,1188294000,1359737000,1400274000,1391976000,1467125000,1539749000,1735631000,1893895000
TIMBÉ DO SUL,74484980,65261650,80990260,85231570,90984720,90814880,108889100,115360400,128869600,129154000,142580000
TIMBÓ,1000350000,1179960000,1247230000,1379036000,1745717000,1598015000,1701695000,1832567000,1858869000,1967801000,2092793000
TIMBÓ GRANDE,91348910,107143700,114925200,142164500,156634900,171692600,169886400,187298400,197331000,190140000,217023000
TRÊS BARRAS,392282300,467909500,587472500,684588200,889662700,833137800,906489500,1043119000,1113578000,1150828000,1305543000
TREVISO,139646100,143041200,159451300,243688400,223315000,254366900,218282600,215595300,204543700,211614000,245279000
TREZE DE MAIO,88247840,86310200,89980740,111235100,113165100,125473600,142827300,143733800,147503900,164576000,166853000
TREZE TÍLIAS,199684500,241047500,327664300,337485800,533596600,475913400,547182300,614882400,613122700,711248000,773110000
TROMBUDO CENTRAL,149526200,167705000,179295000,214704100,257457500,212757800,222096100,232396400,254268500,277000000,312661000
TUBARÃO,1980404000,2256208000,2502550000,2791737000,3317474000,3237605000,3405754000,3516205000,3741552000,3961862000,4043575000
TUNÁPOLIS,60452070,67617240,72570200,90271740,99683450,99724760,113141600,119101800,124217800,142135000,172055000
TURVO,304084800,283355800,338854100,336794300,462459300,457173700,495430700,518351300,538191700,535770000,644540000
UNIÃO DO OESTE,69791040,87910810,94104660,105939700,50152110,51960610,56905230,60672370,59537440,65785000,76590000
URUBICI,149489100,155357100,154540500,209063600,208630400,219599000,260335500,232355900,250464500,296615000,328777000
URUPEMA,32839930,34524900,37811650,42607370,51616980,49490940,66077240,68706940,54676740,66614000,75587000
URUSSANGA,446479600,527613400,542993000,613146500,760681400,737693600,739256700,794659000,835696600,834663000,913785000
VARGEÃO,168042700,257596800,316382800,294680000,112765600,112412700,115015900,133068600,131915700,141077000,166921000
VARGEM,31532610,34088130,39160460,47188180,110495000,111497600,58995210,59496340,61414170,65731000,64360000
VARGEM BONITA,227434200,246402200,241763100,253574100,315448100,326300000,338264600,383954400,392371400,444100000,517713000
VIDAL RAMOS,112126600,133762900,185620800,211483500,229270300,242840400,244270900,262229800,287462300,286152000,322853000
VIDEIRA,1321930000,1481946000,1558188000,1654509000,2052274000,2055978000,2145344000,2230367000,2427864000,2702064000,2967393000
VITOR MEIRELES,70884620,67576190,76631820,83634660,92504600,94528440,102761000,117875700,118550500,118888000,128682000
WITMARSUM,66342250,67950760,72938520,84680440,95820720,95988600,108866000,120885500,129232600,131465000,143671000
XANXERÊ,1041491000,1242075000,1318268000,1319706000,1477791000,1458213000,1530245000,1604050000,1703710000,1896873000,2185610000
XAVANTINA,91944330,97463230,92486740,112955900,141825300,171769900,185723600,183022300,216185400,157893000,175583000
XAXIM,579348900,594177600,595003400,778413800,779071100,812945200,845678200,927591700,947824800,1038423000,1108167000
ZORTÉA,35327220,40530800,41102530,52344880,59500900,61737490,66969360,69088820,71184890,82422000,81851000
