Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CAMPO ERÊ,194818900,178035300,236213600,284979900,228639900,232323000,266885200,265130800,293752600,278432000,330921000
CAMPOS NOVOS,1307033000,1412611000,1545230000,1669360000,1725100000,1889322000,1952635000,1965649000,1948611000,2194251000,2436870000
CANELINHA,129365900,129511900,143960800,161170600,185506500,177358400,165499700,177572800,189951800,206053000,215240000
CANOINHAS,982357100,1103532000,1217087000,1377032000,1437868000,1464295000,1452117000,1591335000,1702047000,1756153000,1865146000
CAPÃO ALTO,43105510,54378600,86860930,99801210,70681400,82723570,107709500,101045000,118404200,136810000,157629000
CAPINZAL,430395900,492701400,526881200,556716800,763884500,748653000,786849500,838098300,833963600,949033000,961809000
CAPIVARI DE BAIXO,676627000,634087900,771381800,817911400,705393100,559625500,634459900,429810800,783870900,916317000,1271714000
CATANDUVAS,185683800,207287200,219279900,264207300,366234100,355297900,402535700,392499000,406680300,436259000,455395000
CAXAMBU DO SUL,99239590,116110700,130619200,135410300,96811040,96834730,108914400,122744800,119271800,141188000,193795000
CELSO RAMOS,35887750,42113880,33985390,44070700,44401620,49823580,57879190,54227460,55171630,59456000,57113000
CERRO NEGRO,30086590,38358400,42882320,57012110,53339880,67445170,84985510,72289540,80998680,80226000,78259000
CHAPADÃO DO LAGEADO,52331970,47027490,61546690,67631510,59138840,57756900,72603310,82487040,83224150,80329000,98061000
CHAPECÓ,4604297000,5320638000,5879022000,6785874000,7978974000,7946821000,8321372000,8893190000,9602337000,10522379000,11954532000
COCAL DO SUL,342339800,385285200,393689400,468438000,593531000,589196000,604411400,706082100,655400400,684520000,707172000
CONCÓRDIA,1669961000,1851243000,1883170000,2384736000,2215742000,2733439000,2929909000,3179422000,3349381000,3722642000,3913064000
CORDILHEIRA ALTA,189345800,203252500,157443000,192859800,193179900,185108400,188463600,219813800,257006600,299687000,314683000
CORONEL FREITAS,154181000,219124400,182767000,266224400,234133300,238691200,257645200,256490300,269997900,283657000,332005000
CORONEL MARTINS,24996930,39679770,29049630,41123880,38196690,42015170,48931550,48555810,50009080,47853000,53376000
CORREIA PINTO,357103900,393405700,398290600,454785500,481887200,530350300,520499100,616434200,578597800,618967000,670531000
CORUPÁ,284590700,338343000,351490000,393006300,379977400,357835500,380267500,520312600,442369600,465349000,676915000
CRICIÚMA,3870771000,4758666000,5016311000,5496582000,6349390000,6998879000,6898752000,7149694000,7684445000,8229743000,8805204000
CUNHA PORÃ,411456400,531159400,524850800,557470100,479615700,473969900,513282900,519840200,534164000,596671000,704046000
CUNHATAÍ,24570040,26271220,27045630,34545590,35810970,38920500,40673980,45987240,51349580,51920000,58490000
CURITIBANOS,646797000,732850700,842490400,934827500,1063004000,1082175000,1226428000,1495894000,1425005000,1494455000,1604543000
DESCANSO,115125700,131661700,133913800,181564000,202862900,207537500,220616400,228895700,216846700,226295000,266237000
DIONÍSIO CERQUEIRA,189575300,232367800,267436800,338168000,364587000,386425100,400590400,400533300,394622500,414671000,495285000
DONA EMMA,50370270,51435310,58793180,70484310,83510260,81879320,88075150,101243900,114413700,116476000,135649000
DOUTOR PEDRINHO,36868480,41012920,47678870,57365510,72495240,80246590,98778440,112866400,114121400,118683000,131349000
ENTRE RIOS,25847820,80354250,91410210,88845070,46944170,49210290,51105990,47077150,47981020,50589000,54417000
ERMO,39959570,33253340,38721240,53600170,60468120,61915900,79092080,85981730,84008190,93400000,120356000
ERVAL VELHO,66302890,81289720,83046620,108025800,111098700,116179300,127051600,140484300,140080300,136967000,151868000
FAXINAL DOS GUEDES,325049200,356040800,367356000,450808600,390425600,368140800,402978500,434704100,440649600,470844000,578782000
FLOR DO SERTÃO,17047800,18390920,20017820,25331110,33170890,33929780,40575400,39865900,40693450,49094000,54830000
FLORIANÓPOLIS,11276680000,12731618000,13946621000,14974993000,16915926000,17619984000,18660876000,19516694000,21059561000,21963928000,21312447000
FORMOSA DO SUL,28588440,31559900,41654920,44559030,48785310,43901930,51673500,49743570,55333880,56944000,60840000
FORQUILHINHA,433874300,423648200,472519400,527713100,739261000,745907800,714768700,813485400,850666900,898164000,978821000
FRAIBURGO,667226900,713379700,835216800,825667200,799594900,869130600,952107300,907570300,925584000,977423000,1151367000
FREI ROGÉRIO,32682390,31107490,42764060,54025270,42617700,52486690,60956250,67306870,49315210,72673000,71706000
GALVÃO,77393210,93486740,90492560,106757400,61503460,67074900,80375010,66674200,75572800,76466000,95530000
GAROPABA,231533900,261002600,303007000,346584200,405903100,439794700,478206100,534236700,584882600,617279000,684966000
GARUVA,323276400,397888900,455419100,549508300,733700200,664963800,663047500,912747400,1071261000,1098318000,1388845000
GASPAR,1427625000,1596705000,1682185000,1830763000,2508454000,2381770000,2444847000,2824158000,2977369000,3187387000,3351068000
GOVERNADOR CELSO RAMOS,128123400,143376400,159048200,182344600,214876400,243065300,267761000,296408500,316537000,352431000,379763000
GRÃO PARÁ,99936970,122921000,126307200,150128100,183992200,184904400,197913500,227778100,218836100,248771000,263484000
GRAVATAL,110220400,112506900,118622300,137243000,146658800,189465800,203117800,224292700,240758900,264765000,289249000
GUABIRUBA,520381900,601841900,642875900,780901900,969405100,872836500,816352200,902724100,977304600,1001317000,1016740000
GUARACIABA,162707600,196190100,202795000,254118100,231182900,239305500,276994400,287358500,346572600,347355000,397775000
GUARAMIRIM,1012210000,1153527000,1167585000,1296423000,1538532000,1472352000,1465631000,1541865000,1695622000,1957712000,2013747000
GUARUJÁ DO SUL,67644640,81961150,97097720,108953900,132252900,129888900,148611200,150698700,153775800,166720000,180214000
GUATAMBÚ,177639400,218336600,352934300,388627600,199529900,241440500,241884000,244350000,226280200,253815000,293514000
HERVAL D'OESTE,317436300,328476200,365992100,378802600,445889100,410796500,393952500,430260400,476452500,482408000,540594000
IBIAM,29274790,30321870,30158270,52552080,40292700,42024370,47559870,47325590,53459800,52597000,62632000
IBICARÉ,49785460,55868150,59566380,72029730,78313910,80617110,94380720,96940210,99571500,113048000,126446000
IBIRAMA,269202600,335191300,335644600,344581700,378617100,379668100,387869700,421610500,444095700,471134000,486338000
IÇARA,1142742000,1242877000,1350906000,1540550000,1832170000,1827679000,1890768000,2102972000,2336748000,2556950000,2775481000
ILHOTA,206642800,292489500,318454300,356093500,449310300,462779100,632581600,683686600,708734500,724130000,739697000
IMARUÍ,109020400,114892600,124114000,151885600,157060200,163862800,173628000,181532100,196345100,196002000,237231000
IMBITUBA,701969400,727707300,824126000,989629900,1074231000,1178408000,1369594000,1548283000,1773195000,2021093000,2148020000
IMBUIA,84820200,85332600,94828830,113767200,113726900,117462800,133387000,123586300,178458900,174757000,212724000
INDAIAL,1425283000,1608948000,1801648000,1834322000,2288292000,2219339000,2321940000,2500546000,2589757000,2976159000,3128704000
IOMERÊ,81163840,91155640,74176930,96230140,96019160,92778130,96915530,127194100,124805200,162274000,185751000
IPIRA,50378680,56247130,61099080,65818980,75234640,74263620,81058240,84447400,84685060,87799000,97829000
IPORÃ DO OESTE,121323100,144095300,153921900,177918200,208974400,213006200,243256300,256043200,254540800,293637000,326493000
IPUAÇU,110649900,152522200,221380800,297051500,182540600,227992400,232907800,223156400,223185500,253097000,277344000
IPUMIRIM,163885600,188655900,184712700,210856400,304183200,306611800,309827100,313269400,332210800,356128000,398968000
IRACEMINHA,53905910,62604730,62289410,81686190,84882870,87971350,97003880,95684170,98132750,99233000,111997000
IRANI,115299800,130140000,144769000,180511600,194845800,190920900,196138200,210934200,238409800,242272000,269570000
IRATI,64528020,42381590,22055680,44768270,32570420,32948260,39324130,34945540,37201110,38885000,46534000
IRINEÓPOLIS,199266300,194032600,202113100,266231700,286181200,281634500,324904900,299113100,347397000,334983000,389770000
ITÁ,162658300,159981000,175905200,175332600,211518800,210696800,220124700,240150200,265045800,307852000,374364000
ITAIÓPOLIS,359640400,499185600,484723300,530724400,666254400,649003800,677197900,704121700,749483700,772918000,855758000
ITAJAÍ,10060381000,12178894000,13577096000,15485921000,18072445000,18708229000,19288428000,21932201000,25413432000,28215220000,33084145000
ITAPEMA,798638300,922711600,1076310000,1155218000,1352819000,1476770000,1581139000,1698461000,1872017000,2140616000,2406021000
ITAPIRANGA,352392600,479709700,446459900,590528000,670279000,784744200,727686200,753937300,773554200,832983000,945782000
ITAPOÁ,179832200,403613000,461132100,632481000,456044800,547472800,617184500,714775200,793233100,919064000,1139768000
ITUPORANGA,445916300,436303800,518425400,592435600,703407500,702223600,781569700,831856900,933730200,967257000,1109876000
JABORÁ,78689980,81850790,79823470,101754900,120122500,116182700,123627800,141481200,126921500,139974000,161516000
JACINTO MACHADO,153791600,148193400,214591100,272987000,254621500,256439800,289946000,322629800,331496400,377316000,454946000
JAGUARUNA,221481600,239017600,259030600,304926600,360336800,401205200,456297800,473335500,469914200,581543000,813588000
JARAGUÁ DO SUL,5515806000,6546829000,6844962000,7782911000,7055656000,7916277000,7768568000,8523055000,8995686000,9805824000,9984243000
JARDINÓPOLIS,27232380,49631690,32524650,38526250,30702760,32062240,45526820,37698680,39803110,51411000,59402000
JOAÇABA,931963600,1065079000,1091513000,1156722000,1419826000,1470374000,1488682000,1577136000,1929064000,1806708000,1953779000
JOINVILLE,18252540000,18675103000,20472881000,22049703000,25136137000,26552124000,25236074000,27388124000,30785682000,34528619000,36391912000
JOSÉ BOITEUX,69613540,61882700,68036790,80304570,81174900,88012000,98297210,108763900,102234400,106904000,117421000
JUPIÁ,25787690,40971070,32214860,44110150,42958560,44649760,53191630,52780970,56788340,54054000,69669000
LACERDÓPOLIS,77672770,93819630,98424030,109678000,80256450,82188400,88769100,93047460,92184200,105174000,138061000
LAGES,2771856000,2922302000,4083720000,3595196000,4379587000,4746496000,4749124000,5075586000,5103843000,5571758000,5880007000
LAGUNA,474495200,526835800,686312200,668180300,748635900,757677900,784301600,841741800,900499100,891933000,962895000
LAJEADO GRANDE,22752250,25538830,80508950,91100260,41946640,35116120,38097990,39368980,41354510,50350000,60932000
LAURENTINO,121033500,131989200,141875200,165059500,214231400,218288200,252520300,257563500,267676000,290054000,337187000
LAURO MULLER,172087500,207233100,219013000,237244600,263646400,278881800,324999400,355273800,373986900,386608000,412318000
LEBON RÉGIS,185263500,152471300,170447400,181963300,193065000,216199900,248571000,223593100,246848600,319479000,365967000
LEOBERTO LEAL,52035540,50949740,64310210,72563670,72190620,68717650,78299200,93076480,93972260,97975000,119876000
LINDÓIA DO SUL,83560030,96083500,121091900,110010700,145483200,154728400,130152500,109275400,107264400,115298000,139204000
LONTRAS,133035500,190931300,213552400,203323500,232101200,234860500,268475100,314283300,322170000,357625000,395109000
LUIZ ALVES,326048200,322167600,353865500,406346700,479091900,482012400,538355200,575786900,581065500,495951000,593037000
LUZERNA,99750280,116023900,133726300,145242100,183467800,150950800,155686600,158733100,170821900,190779000,238302000
MACIEIRA,32335480,30324480,34290570,45725070,41469540,41389820,56742850,43147450,48700960,53714000,54908000
MAFRA,1001513000,1056708000,1194126000,1254306000,1444661000,1356313000,1447452000,1660261000,1960223000,1974377000,2106806000
MAJOR GERCINO,34688820,39827150,42499180,35019050,41893520,41576220,46315430,46447180,49334110,52370000,53895000
MAJOR VIEIRA,106677000,109000700,121812900,155859500,185158700,173020400,185939200,185873800,210905000,210561000,241225000
MARACAJÁ,108124000,103485600,119645000,158260500,169527900,168241300,170123600,181050700,197366300,199860000,221955000
MARAVILHA,627703200,739630400,769284900,862931500,882541100,863128400,960798500,1055389000,1288638000,1401082000,1612801000
MAREMA,67583190,80498100,88633310,103745500,58497050,57508390,60091320,60465040,57669570,64467000,76098000
MASSARANDUBA,295805600,377699100,360988200,400563000,507765800,510937300,510608700,579639800,548048300,554347000,650008000
MATOS COSTA,26335400,28931780,36257260,31959410,36160550,36734370,45871050,48419200,51802760,51446000,51603000
MELEIRO,129313200,119802200,143967700,146700900,194174800,203186600,226210300,242069100,239695200,267369000,272827000
MIRIM DOCE,32661480,31731400,40132560,51864650,46819900,48110500,49677190,55134490,52962450,58474000,74834000
MODELO,92868760,106845100,113810400,128214300,90761560,95556280,112413600,108067800,115056400,118948000,133991000
MONDAÍ,256172000,345812800,359101000,415832800,537624800,491166700,517118700,581365900,656579600,713677000,873779000
MONTE CARLO,158004100,124556100,131226700,156632400,136726800,147953000,160076400,137058800,158881400,175406000,194817000
MONTE CASTELO,121676900,130485000,140884800,152818500,178007900,174366300,164595200,158881500,176188300,174402000,201302000
MORRO DA FUMAÇA,355613100,440667400,451809200,514468100,605329200,609470100,592134300,635539300,642829100,666246000,708245000
MORRO GRANDE,62462790,88698780,67667170,92853200,169260000,171920900,176242800,133370600,104794300,101086000,114931000
NAVEGANTES,1423383000,1392480000,2314770000,2711377000,3292421000,3258291000,3287283000,4108477000,3820584000,4685199000,4971219000
NOVA ERECHIM,80481330,142919100,147693700,135042300,134630800,135388300,161167800,154516400,163898700,184231000,215969000
NOVA ITABERABA,95314130,119364100,69982020,138655900,97412170,98888860,107925000,104948700,107210800,134297000,145013000
NOVA TRENTO,286074500,300700200,325477900,388389900,468000300,479663600,508093600,523649100,591684700,630774000,626292000
NOVA VENEZA,361663700,435542000,449246100,471296500,632706300,640970600,728262300,716228900,725540100,761312000,810190000
NOVO HORIZONTE,45609560,55402410,55378160,68808230,76126250,75372190,86601340,81118720,91411330,90215000,114276000
ORLEANS,570471700,671187700,742140900,863828700,835088700,833869100,845354000,972736100,907251800,906562000,977865000
OTACÍLIO COSTA,468841900,490915400,528923600,540927800,554071300,621609900,643086800,695720200,755962700,771457000,854180000
OURO,86414180,97325160,100525600,119382300,135537200,139204400,149795600,159748900,166184300,195951000,216569000
OURO VERDE,45047460,62228380,65355960,84813240,69211880,68587130,87366540,86255150,87127700,93752000,118065000
PAIAL,22301720,67636600,71284330,74154910,30107670,31551250,36124940,38921210,41073830,41043000,47599000
PAINEL,44087770,32746420,34749310,40403360,40869820,44323470,58010900,57572680,47342200,59911000,66513000
PALHOÇA,2685689000,3133473000,3846978000,3990380000,4694889000,5104686000,4375512000,4834031000,5489676000,5985390000,6530836000
PALMA SOLA,131638800,165264200,205832400,234034700,187566900,174701600,219710500,201937300,224912900,210067000,250727000
PALMEIRA,54260290,71027390,77561430,83684660,72130760,95126390,101942500,106429500,102077500,110986000,127899000
PALMITOS,324931000,420119400,482453400,547051500,511738600,501812000,543968100,575111600,621045500,691110000,762021000
PAPANDUVA,376154000,375731400,431413300,827141900,451506200,444032500,485294400,543671800,599304600,608301000,726454000
PARAÍSO,74686780,85848750,107728600,128955100,80657950,78747720,91895100,88844590,101002700,114062000,135596000
PASSO DE TORRES,60171640,57442530,61715630,75292480,93660370,126099900,123272300,140034000,164527100,176771000,201419000
PASSOS MAIA,98126340,76164800,80698900,98778540,98577400,107379800,123801000,136167000,138416700,133265000,145979000
PAULO LOPES,130616200,140022600,158650100,175388300,196747700,166876600,173173000,181154500,190304200,200456000,227628000
PEDRAS GRANDES,71907680,85235520,68087570,85093020,106380700,111493400,133547100,138811100,132720800,144921000,215609000
PENHA,278810300,334466600,386263400,452573600,521145300,593902500,625840900,673740600,743895500,819067000,912953000
PERITIBA,46449910,49054040,50816530,60576930,73455380,71839180,80987420,83670260,85035430,93906000,105796000
PESCARIA BRAVA,44993180,44993180,44993180,44993180,65824450,80053080,82656820,92402710,100328700,96819000,107685000
PETROLÂNDIA,101149700,104640300,181674500,162824500,133835500,139087400,163443000,167194100,173692500,180715000,188304000
PINHALZINHO,546579000,702058000,713808600,848487000,876975100,852944800,941667300,1019819000,1122662000,1142191000,1346174000
PINHEIRO PRETO,77811040,85191100,85761680,97048870,129647800,135817000,149760600,165771600,161558700,185387000,229679000
PIRATUBA,528933000,605428800,344033300,474688800,512852000,718590900,761258700,653928000,615049900,744193000,744967000
PLANALTO ALEGRE,67546930,87083840,94956810,105150200,55732080,56450360,54973730,88616350,94867180,110961000,115407000
POMERODE,979887800,1191074000,1269274000,1460079000,2149149000,1708490000,1712404000,1919219000,2026616000,2119307000,2197112000
