Município,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BENEDITO NOVO,2849245.27,3237490.23,3353499.61,3695645.11,4356398.19,4837920.95,5262687.14,5710026.02,5618405.54,5651872.25,5835258.53,5901504.63,7302480.11
BIGUAÇU,8770268.06,10992931.76,13459833.46,16444454.46,19437396.75,21798325.94,21389704.26,22540098.78,23753192.67,26788790.08,28847660.76,30837971.67,38164059.27
BLUMENAU,129348590.02,155644806.45,174950672.64,195470499.92,221663459.51,240573508.55,253714731.85,259474923.67,273745119.55,285691701.9,292796354.61,292943762.59,365123915.9
BOCAINA DO SUL,57225.03,65699.99,85783.02,100389.72,125387.2,156036.15,230744.26,234082.24,274344.83,273101.13,328443.88,325975.55,406264.98
BOM JARDIM DA SERRA,205237.08,217369.47,257200.92,281406.75,307751.16,363413.92,454140.71,449912.11,453231.63,482260.66,600321.59,578395.66,779980.28
BOM JESUS,178457.94,217863.25,226551.23,277021.57,306059.04,396603.9,443783.44,509701.87,540443.52,626240.49,671508.2,703075.22,812033.57
BOM JESUS DO OESTE,64221.83,64341.89,89831.99,77572.15,110191.26,135113.45,137242.1,135485.88,194687.89,201881.97,215767.31,243374.1,315626.41
BOM RETIRO,1123113.88,1247606.39,1199495.7,1332351.82,1595388.35,1777161.63,1855007.15,1824838.36,1930957.3,1878484.59,1971485.16,1818563.19,2401729.86
BOMBINHAS,2376243.84,2875240.43,3424832.68,4090425.19,4751467.14,5539740.03,6254016.14,7402174.21,8389805.76,8862867.84,8766781.09,8501806.14,10514974.24
BOTUVERÁ,1524888.08,1969174.11,2121054.85,2780808.87,3665933.84,4146765.83,4110265.02,4451287.06,4943612.69,5073896.03,5341340.66,5867470.73,7119622.02
BRAÇO DO NORTE,5451038.88,6492731.95,7889440.59,9525339.12,11433633.23,13553131.58,15330543.61,16830016.77,18099212.26,19587905.29,19979942.63,21555093.89,27173415.95
