,Município,1991,2000,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,ÂNGULO,2954.0,2959.0,2964.0,2969.0,2974.0,2927.0,2928.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2861.0,2862.0,-1.0
28,ANITA GARIBALDI,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8497.0,8374.0,8230.0,8055.0,7881.0,7708.0,7537.0,7313.0,7133.0,6957.0,6783.0
29,ANITÁPOLIS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3213.0,3211.0,3259.0,3256.0,3253.0,3251.0,3248.0,3236.0,3232.0,3228.0,3223.0
30,ANTONINA,19412.0,19414.0,19416.0,19418.0,19420.0,19011.0,18980.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18870.0,18849.0,-1.0
31,ANTÔNIO CARLOS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7537.0,7613.0,7906.0,8012.0,8118.0,8223.0,8327.0,8411.0,8513.0,8613.0,8712.0
32,ANTÔNIO OLINTO,7567.0,7573.0,7578.0,7582.0,7587.0,7441.0,7434.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7347.0,7343.0,-1.0
33,APIÚNA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9683.0,9764.0,10099.0,10211.0,10322.0,10432.0,10542.0,10636.0,10743.0,10848.0,10951.0
34,APUCARANA,128058.0,129265.0,130430.0,131571.0,132691.0,133726.0,134996.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,121924.0,122896.0,-1.0
35,ARABUTÃ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4196.0,4198.0,4270.0,4273.0,4276.0,4278.0,4281.0,4266.0,4267.0,4267.0,4268.0
36,ARAPONGAS,112198.0,113833.0,115412.0,116960.0,118477.0,121198.0,123027.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,105588.0,106978.0,-1.0
