"Município","Estabelecimentos"
"Bom Jesus do Oeste","224"
"Bocaina do Sul","222"
"Urupema","220"
"Leoberto Leal","218"
"Sul Brasil","213"
"São Bernardino","211"
"Mirim Doce","206"
"Santa Helena","206"
"Princesa","205"
"Jardinópolis","200"
"Novo Horizonte","194"
"Vargem","193"
"Santa Terezinha do Progresso","192"
"Presidente Nereu","185"
"Abdon Batista","181"
"Ibiam","181"
"Presidente Castello Branco","178"
"Brunópolis","177"
"Cunhataí","176"
"Marema","176"
"Rio Rufino","176"
"Capão Alto","175"
"Chapadão do Lageado","173"
"Alto Bela Vista","169"
"Irati","167"
"Tigrinhos","163"
"Macieira","159"
"Coronel Martins","150"
"Lajeado Grande","149"
"Frei Rogério","148"
"Cerro Negro","147"
"Flor do Sertão","147"
"Entre Rios","146"
"Painel","140"
"Ouro Verde","138"
"Paial","125"
"Santiago do Sul","119"
"Barra Bonita","118"
"São Miguel da Boa Vista","106"
