municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
APIÚNA,2,57437,9683,9683,9764,10099,10211,10322,10432,10542,10636,10743,10848,3467173.22,3651206.29,4226477.89,4253863.13,4738853.14,4893190.07,5121767.73,5269455.17,5413748.74,5486751.39,5059106.65,231412600,306135400,330164700,289588500,387602000,411808700,386869300,414988500,415532200,401008000,371624000,2757,2717,2956,2817,2799,2691,2576,2538,2491,2521,2391,1025
ARABUTÃ,0,0,4196,4196,4198,4270,4273,4276,4278,4281,4266,4267,4267,215846.4,263604.12,346396.12,361207.54,388900.51,429842.37,514293.46,698474.21,885111.5,980294.96,1129399.68,71203710,71407850,77226330,90654980,99248680,104974100,106410800,126169900,137614000,174014000,205798000,251,284,324,309,302,327,335,383,462,465,527,571
ARAQUARI,0,0,25860,25860,26875,29593,31030,32454,33867,35268,36710,38129,39524,6719433.99,9176244.6,11672463.36,14661298.15,19706063.09,20996101.86,23708288.18,28932638.4,32383857.4,33756090.7,38330956.21,532599800,690004300,832601700,1017531000,1633990000,2724010000,3206663000,3928868000,4151191000,4856255000,5510946000,5507,6802,7531,8553,9957,9845,10092,12370,13232,13685,15300,243
ARARANGUÁ,0,0,61817,61817,62308,64405,65090,65769,66442,67110,67578,68228,68867,11635314.34,13195931.12,14750086,16647926.95,18893070.43,19795944.31,20706379.57,22236951.59,23557484.54,23208683.69,23182332.35,991569300,1204545000,1254563000,1339435000,1510259000,1549048000,1572795000,1724987000,1833576000,1941337000,2067725000,11329,11832,11794,12284,12777,12207,11823,12133,12555,12843,12543,1400
ARMAZÉM,0,0,7821,7821,7886,8159,8251,8341,8431,8520,8587,8674,8759,1405421.85,1552648.54,1824089.38,2074723.94,2181420.86,2705466.61,3083934.59,3345224.69,3408618.16,3566350.99,3521222.85,97447170,106725500,108785300,136966900,167032500,160101000,165510200,168494600,190726400,210909000,230242000,1723,1763,1842,1875,1854,1950,2022,2073,2034,2098,2079,364
ARROIO TRINTA,0,0,3503,3503,3504,3562,3563,3563,3564,3564,3551,3550,3549,561097.51,621918.44,702564.33,876551.25,965128.61,1014142.36,994820.45,1059430.31,1079307.85,1205007.21,1328086.45,49320040,68505560,65695510,81827840,81356450,81216440,89756970,92187650,89321530,97443000,111049000,665,686,696,745,741,718,623,644,633,651,668,781
ARVOREDO,0,0,2257,2257,2254,2281,2276,2271,2266,2261,2246,2240,2234,68273.15,96416.68,151439.25,261713.37,346768.07,358109.06,475768.58,686532.9,855075.32,1224789.22,1042744.92,39178690,49316070,56830860,68032830,62700950,95565500,91388570,87210310,100362800,115571000,135522000,78,107,154,243,295,267,304,426,527,690,581,1689
ASCURRA,1,519,7449,7449,7485,7683,7732,7781,7829,7877,7889,7934,7978,1726792.29,1975434.63,2356504.41,2628198.99,2666410.19,3010921.23,3632506.66,4017622.67,4266697.71,4323711.68,4119567.69,108995600,120754800,174623500,213618300,159321100,147713800,157750500,192659400,196977800,210524000,207603000,1799,1868,2022,1999,1898,1918,2115,2198,2244,2170,2054,1612
ATALANTA,0,0,3291,3291,3281,3310,3296,3282,3268,3254,3226,3210,3195,326156.09,397777.26,469307.24,521425.76,622281.55,651599.1,541575.49,818290.61,746803.82,570940.94,607173.13,57455360,53846020,68021850,109391500,83834120,87579740,97704450,99538270,99243990,100727000,101201000,345,380,409,414,438,435,345,441,392,319,344,37022
AURORA,0,0,5555,5555,5561,5661,5668,5674,5681,5688,5676,5679,5683,464909.42,517418.06,712839.18,913081.59,1137234.86,1321707.22,1538951.73,1761603.66,1946258.41,2345408.74,2847148.88,83024550,81607720,105183000,129850700,152685600,152886900,150186800,166813400,210338300,176938000,268262000,488,505,600,659,754,786,834,915,973,1108,1312,1967
