municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
CATANDUVAS,0,0,10213,19842,9746,10112,10244,10374,10503,10632,10735,21047,21153,2239565.41,2249845,2932411.21,3348443.24,3726962.52,3945104.89,4467079.41,5084747.04,4900439.16,5803388.11,5821909.72,185683800,207287200,219279900,264207300,366234100,355297900,402535700,392499000,406680300,436259000,455395000,2246,2155,2332,2422,2447,2447,2502,2673,2595,2744,2822,173
CAXAMBU DO SUL,0,0,4346,4346,4283,4208,4118,4028,3939,3850,3735,3642,3551,190262.59,237597.11,313615.23,348335.86,386701.86,425772.63,462839.03,523509.64,659387.6,725758.54,870859.04,99239590,116110700,130619200,135410300,96811040,96834730,108914400,122744800,119271800,141188000,193795000,199,238,279,289,288,285,290,304,354,387,442,41249
CELSO RAMOS,0,0,2766,2766,2760,2792,2784,2776,2768,2760,2738,2728,2719,102432.45,117421.19,168797.11,241093.47,258161.68,283629.36,305713.88,333358.08,311225.22,293464.6,349134.6,35887750,42113880,33985390,44070700,44401620,49823580,57879190,54227460,55171630,59456000,57113000,123,134,176,213,215,201,195,206,187,188,196,2042
CERRO NEGRO,0,0,3542,3542,3503,3472,3417,3362,3308,3254,3181,3124,3068,60083.18,53804.41,71191.92,100872.26,88006.28,112457.17,173653,159830.75,165639.73,180531.74,140636.06,30086590,38358400,42882320,57012110,53339880,67445170,84985510,72289540,80998680,80226000,78259000,78,65,82,103,87,100,134,118,115,124,99,10319
CHAPADÃO DO LAGEADO,0,0,2778,2778,2793,2871,2892,2912,2933,2953,2969,2988,3006,63917.64,44520.46,46328.01,61979.65,63538.97,75009.55,92852.15,110764.6,104491.04,118047,157973.91,52331970,47027490,61546690,67631510,59138840,57756900,72603310,82487040,83224150,80329000,98061000,83,53,49,66,58,72,79,88,81,85,98,753
CHAPECÓ,1,1604,186337,186337,189052,198188,202009,205795,209553,213279,216654,220367,224013,65192768.17,78046075.03,82178178,104558053.03,121115620.56,128890121.89,136721270.25,150868863.13,158050953.71,177599547.16,189946149.57,4604297000,5320638000,5879022000,6785874000,7978974000,7946821000,8321372000,8893190000,9602337000,10522379000,11954532000,59092,64226,60898,68781,69274,66600,65433,67395,68490,74492,78878,1158
COCAL DO SUL,0,0,15269,15269,15376,15860,16009,16156,16301,16446,16544,16684,16821,6443905.58,7390482.27,7737146.08,8406734.95,9514625.84,10623038.29,11173956.36,11333055.39,11820438.69,12828927.29,13236318.14,342339800,385285200,393689400,468438000,593531000,589196000,604411400,706082100,655400400,684520000,707172000,3997,4296,4042,4139,4417,4470,4377,4409,4469,4795,4735,150
CONCÓRDIA,1,724,69048,69048,69462,71499,72073,72642,73206,73766,74106,74641,75167,23679099.28,27057454.52,22795103.23,36418808.66,41319472.6,43691030.36,45329087.65,49680345.74,51631941.46,57561446.69,58188312.33,1669961000,1851243000,1883170000,2384736000,2215742000,2733439000,2929909000,3179422000,3349381000,3722642000,3913064000,21870,22698,17540,23754,24425,23507,22768,23426,24111,25948,25925,1466
CORDILHEIRA ALTA,0,0,3819,3819,3869,4043,4114,4184,4253,4321,4385,4453,4520,1463083.13,1811936.19,1988464.75,2322869.09,2310729.7,3018727.45,3063173.7,3438660.42,3689027.77,3781742.7,4557890.17,189345800,203252500,157443000,192859800,193179900,185108400,188463600,219813800,257006600,299687000,314683000,1142,1337,1338,1360,1354,1540,1440,1471,1583,1582,1813,2062
CORONEL FREITAS,0,0,10189,10189,10165,10272,10236,10201,10165,10130,10022,9981,9940,1271264.17,1573340.99,1848092.52,2057906.22,2355628.04,2407229.56,2695070.98,2865098.75,3148662.33,3345926.26,3549410.66,154181000,219124400,182767000,266224400,234133300,238691200,257645200,256490300,269997900,283657000,332005000,1481,1596,1624,1650,1700,1566,1601,1585,1711,1780,1805,32537
CORONEL MARTINS,0,0,2464,2464,2469,2520,2527,2534,2541,2548,2544,2549,2555,77433.59,82125.93,92089.37,151976.48,148359.71,156740.22,168507.26,150265.69,131862.08,141363.69,167054.37,24996930,39679770,29049630,41123880,38196690,42015170,48931550,48555810,50009080,47853000,53376000,90,82,93,146,116,111,113,87,82,82,83,1633
CORREIA PINTO,0,0,14613,14613,14447,14301,14063,13826,13591,13358,13040,12795,12553,3440748.97,4049333.67,4847581.05,5007970.43,5355648.37,5239160.35,5479798.59,5619977.33,6038217.66,6066791.66,5914418.24,357103900,393405700,398290600,454785500,481887200,530350300,520499100,616434200,578597800,618967000,670531000,2136,2175,2181,2333,2408,2317,2318,2366,2420,2538,2543,176
CORUPÁ,1,1156,14006,14006,14155,14716,14925,15132,15337,15541,15709,15909,16107,4980128.47,5254747.95,6029309.42,6623363.69,7142122.26,7468610.63,7597151.98,8233090.13,8707116.65,9523000.49,9876266.34,284590700,338343000,351490000,393006300,379977400,357835500,380267500,520312600,442369600,465349000,676915000,3802,3778,3862,3880,3908,3834,3591,3713,3765,3944,4034,4618
CRICIÚMA,1,84,193989,193989,195614,202395,204667,206918,209153,211369,213023,215186,217311,59771035.22,69642705.66,79595766.06,92217623.98,101059608.69,108364794.17,114060580.35,120520157.42,127231115.33,131284747.19,133795300.2,3870771000,4758666000,5016311000,5496582000,6349390000,6998879000,6898752000,7149694000,7684445000,8229743000,8805204000,48940,51724,53259,55181,55840,54583,53737,53799,54972,57166,56772,874
CUNHA PORÃ,0,0,10643,10643,10671,10905,10944,10982,11020,11057,11053,11086,11118,1574811.28,1835735.55,2361786.55,3137879.77,3475808.37,3956796.38,4736014.87,4545255,4946129.08,5136193.17,5832228.21,411456400,531159400,524850800,557470100,479615700,473969900,513282900,519840200,534164000,596671000,704046000,1673,1777,1903,2348,2319,2382,2245,2282,2354,2403,2565,2097
CUNHATAÍ,0,0,1887,1887,1892,1931,1937,1943,1949,1955,1957,1962,1967,80369.74,99090.81,101765.72,124012.64,160921.2,204191.12,230915.04,271418.57,273641.38,293891.33,319466.73,24570040,26271220,27045630,34545590,35810970,38920500,40673980,45987240,51349580,51920000,58490000,115,127,120,136,157,177,174,196,192,196,205,476
CURITIBANOS,1,10,37878,37878,38003,38890,39061,39231,39399,39566,39595,39745,39893,5883833.87,7549636.84,8301385.4,10010329.62,11368115.3,12347257.52,13716591.78,14407395.2,14637998.23,15089815.59,15611544.06,646797000,732850700,842490400,934827500,1063004000,1082175000,1226428000,1495894000,1425005000,1494455000,1604543000,5855,6497,6590,7039,7340,7147,7300,7410,7415,7545,7684,531
DESCANSO,0,0,8597,8597,8560,8612,8558,8505,8452,8399,8308,8250,8192,542243.51,677967.3,837849.15,959723.47,1079494.11,1153022.41,1223870.07,1272944,1343246.83,1476947.57,1511750.57,115125700,131661700,133913800,181564000,202862900,207537500,220616400,228895700,216846700,226295000,266237000,712,800,849,891,911,866,858,852,849,902,896,146
DIONÍSIO CERQUEIRA,0,0,14855,14855,14896,15227,15283,15339,15395,15450,15450,15498,15545,778138.3,935660.84,1158244.45,1426136.65,1574042.53,1759225.63,2086344.1,2092354.55,2332769.8,2516756.29,2614192.36,189575300,232367800,267436800,338168000,364587000,386425100,400590400,400533300,394622500,414671000,495285000,938,1033,1137,1293,1280,1330,1411,1352,1412,1511,1487,235
DONA EMMA,0,0,3753,3753,3784,3912,3955,3997,4039,4081,4105,4146,4186,620907.69,760830.64,995138.08,1176646.92,1323836.61,1302065.85,1367803.68,1505686.63,1612380.61,1638906.84,1772536.29,50370270,51435310,58793180,70484310,83510260,81879320,88075150,101243900,114413700,116476000,135649000,737,823,911,920,952,906,883,932,985,961,1007,526
DOUTOR PEDRINHO,1,5067,3645,3645,3683,3828,3883,3937,3990,4043,4013,4064,4115,719712.25,780014.1,931341.52,1197713.46,1414655.82,1448218.5,1629135.04,1692615.83,1632127.19,1626758.86,1667382,36868480,41012920,47678870,57365510,72495240,80246590,98778440,112866400,114121400,118683000,131349000,795,817,872,963,987,953,974,980,885,867,838,1275
ENTRE RIOS,0,0,3031,3031,3043,3118,3135,3151,3167,3183,3189,3203,3218,42040.13,48566.47,74033.3,96088.85,93539.28,96396.12,118850.77,104251.59,98152.32,105646.31,86712.9,25847820,80354250,91410210,88845070,46944170,49210290,51105990,47077150,47981020,50589000,54417000,50,56,132,94,87,75,85,69,64,65,56,147
ERMO,0,0,2050,2050,2049,2081,2079,2078,2077,2076,2066,2063,2061,101401.06,154177.78,175775.65,249420.24,315247.12,375996.24,416144.45,419913.35,676230.2,1109316.02,1221226.6,39959570,33253340,38721240,53600170,60468120,61915900,79092080,85981730,84008190,93400000,120356000,128,176,180,220,245,271,278,273,367,631,668,121928
ERVAL VELHO,0,0,4359,4359,4365,4448,4456,4464,4472,4480,4407,4412,4418,440281.06,518551.29,639406.65,658511.25,819868.64,927854.26,946042.5,1011113.54,993607.25,1096362.08,1221770,66302890,81289720,83046620,108025800,111098700,116179300,127051600,140484300,140080300,136967000,151868000,566,593,612,613,687,677,670,668,624,676,729,304
FAXINAL DOS GUEDES,0,0,10653,10653,10645,10797,10784,10771,10758,10745,10686,10667,10649,3324573.91,3896158.93,3083005.2,4875247.02,5260048.99,5579305.6,5629570.59,6306601.41,6445943.61,7117326.25,7470963.14,325049200,356040800,367356000,450808600,390425600,368140800,402978500,434704100,440649600,470844000,578782000,3062,3211,2390,3258,3209,3160,2963,3123,3080,3271,3349,3280
FLOR DO SERTÃO,0,0,1587,1587,1585,1605,1603,1600,1597,1594,1586,1582,1579,32846.67,103099.25,90003.48,153416.36,168474.26,177300.29,237921.92,225293.2,285537.31,335145.33,391107.79,17047800,18390920,20017820,25331110,33170890,33929780,40575400,39865900,40693450,49094000,54830000,44,129,108,147,131,122,165,146,166,207,228,3338
FLORIANÓPOLIS,20,279607,427298,427298,433158,453285,461524,469690,477798,485838,492977,500973,508826,160672091.19,192122943.22,223064560.1,252472836.63,286663970.85,302557962.87,319357032.08,332883080.38,364184007.77,374090011.58,357048764.01,11276680000,12731618000,13946621000,14974993000,16915926000,17619984000,18660876000,19516694000,21059561000,21963928000,21312447000,127467,136037,141972,147047,153304,149780,146759,142896,147455,154647,147935,148
FORMOSA DO SUL,0,0,2592,2592,2583,2603,2589,2576,2562,2549,2525,2510,2495,87865.85,118401.38,148937.01,196058.81,203741.96,221721.33,242933.92,223513.78,291100.49,266232.05,310136.38,28588440,31559900,41654920,44559030,48785310,43901930,51673500,49743570,55333880,56944000,60840000,102,120,138,167,152,151,148,133,160,143,170,348
FORQUILHINHA,0,0,22871,22871,23183,24256,24694,25129,25560,25988,26368,26793,27211,7912619.03,8588536.72,10269094.32,11014579.95,12305443.21,11957134.75,13108618.3,13588387.02,13481180.02,14659136.75,15727277.2,433874300,423648200,472519400,527713100,739261000,745907800,714768700,813485400,850666900,898164000,978821000,6073,6216,6565,6748,6878,6182,6422,6411,6380,6893,7333,5577
FRAIBURGO,0,0,34677,34677,34796,35618,35781,35942,36102,36261,36299,36443,36584,8587322.57,9165394.75,10142304.87,11108496.83,12962167.47,13047276.62,13688021.45,14464109.96,14665007.18,15529356,15401424.02,667226900,713379700,835216800,825667200,799594900,869130600,952107300,907570300,925584000,977423000,1151367000,8690,8592,8395,8256,8688,7840,7356,7387,7421,7290,7412,2647
FREI ROGÉRIO,0,0,2436,2436,2399,2354,2301,2249,2197,2146,2077,2023,1970,113997.82,115406.81,116015.32,132230.2,145745.11,173635.71,169953.71,154921.45,185757.59,206203.64,216952.22,32682390,31107490,42764060,54025270,42617700,52486690,60956250,67306870,49315210,72673000,71706000,111,110,114,111,127,126,125,110,116,124,132,12150
GALVÃO,1,626,3414,3414,3452,3379,3297,3217,3137,3058,2956,2873,2791,139616.15,137577.13,158501.47,214497.04,195646.26,279644.91,295603.6,311292.56,377756.94,315241.59,360263.62,77393210,93486740,90492560,106757400,61503460,67074900,80375010,66674200,75572800,76466000,95530000,180,176,174,196,174,221,217,198,225,185,201,2175
GAROPABA,2,160199,18520,18520,18890,20024,20545,21061,21573,22082,22568,23078,23579,3040572.26,3609894.66,4542454.68,5489691.44,6180404.75,6713529.56,7419669.7,8191509.66,8875684.5,9274645.77,9343594.7,231533900,261002600,303007000,346584200,405903100,439794700,478206100,534236700,584882600,617279000,684966000,3068,3261,3482,3685,3892,4021,4234,4526,4818,4952,5081,1532
GARUVA,0,0,15021,15021,15272,16081,16435,16786,17134,17479,17800,18145,18484,3538711.16,3954659.79,4648680.59,5842383.17,5955886.41,6408149.01,7165913.81,7118306.76,7500280.09,8422424.65,8141361.88,323276400,397888900,455419100,549508300,733700200,664963800,663047500,912747400,1071261000,1098318000,1388845000,2992,3194,3305,3606,3393,3426,3488,3321,3438,3695,3751,709
GASPAR,1,56918,58869,58869,59728,62618,63826,65024,66213,67392,68465,69639,70793,28073902.27,29195671.99,27387391.09,32712304.3,36467742.06,37839099.42,42220500.3,46721705.08,49950373.36,53922706.69,56398222.71,1427625000,1596705000,1682185000,1830763000,2508454000,2381770000,2444847000,2824158000,2977369000,3187387000,3351068000,18554,19061,18561,18850,19391,18627,19307,20440,21007,22065,22669,3427
GOVERNADOR CELSO RAMOS,2,21541,13107,13107,13211,13655,13801,13944,14087,14229,14333,14471,14606,936932.75,1150577.71,1219778.09,2105633.69,2389910.93,2859773.11,2956577.96,3567436.59,3985851.76,3439187.77,3061872.28,128123400,143376400,159048200,182344600,214876400,243065300,267761000,296408500,316537000,352431000,379763000,987,1059,1028,1423,1542,1658,1633,1848,2005,1818,1713,1023
GRÃO PARÁ,2,51002,6246,6246,6268,6418,6448,6478,6507,6537,6542,6569,6595,846651.32,969824.09,1093230,1304274.33,1390301.02,1751066.69,1741018.61,2224298.94,2271580.25,2416300.72,2664392.39,99936970,122921000,126307200,150128100,183992200,184904400,197913500,227778100,218836100,248771000,263484000,985,1057,1076,1145,1135,1287,1150,1399,1379,1483,1536,6147
GRAVATAL,0,0,10698,10698,10758,11064,11148,11231,11313,11394,11423,11501,11577,1851220.15,1745474.03,2315114.87,2484205.85,2872777.83,3356315.75,3494797.2,3929283.48,4149145.65,4264823.05,4137288.28,110220400,112506900,118622300,137243000,146658800,189465800,203117800,224292700,240758900,264765000,289249000,2109,1908,2201,2127,2179,2263,2183,2260,2246,2264,2308,657
GUABIRUBA,1,56918,18849,18849,19254,20474,21046,21612,22174,22732,23272,23832,24382,6494071.06,7433389.12,8390876.84,9873838.58,11262305.13,11631510.64,12863831.24,14220317.82,15209947.11,16868311.89,16767984.86,520381900,601841900,642875900,780901900,969405100,872836500,816352200,902724100,977304600,1001317000,1016740000,5035,5243,5528,5728,5940,5634,5739,6007,6172,6555,6374,731
GUARACIABA,0,0,10457,10457,10417,10492,10433,10374,10316,10259,10154,10090,10026,1043991.84,1284608.51,1477025.77,1742573.17,2010646.42,1961891.85,2318379.06,2547208.52,2938262.8,3181730.07,3286351.37,162707600,196190100,202795000,254118100,231182900,239305500,276994400,287358500,346572600,347355000,397775000,1420,1576,1568,1694,1801,1726,1718,1750,1830,1913,1892,2135
GUARAMIRIM,2,3,35918,35918,36640,38851,39869,40878,41879,42872,43822,44819,45797,14799602.16,16473760.35,19239749.98,22217791.87,24337638.84,24803048.78,24939250.65,26909792,28548957.66,30761437.01,31603499.47,1012210000,1153527000,1167585000,1296423000,1538532000,1472352000,1465631000,1541865000,1695622000,1957712000,2013747000,10477,10828,11200,11768,12013,11189,10598,10977,11177,12029,11918,181
GUARUJÁ DO SUL,1,4,4925,4925,4941,5054,5076,5097,5118,5139,5141,5160,5178,446769.64,546742.98,711511.79,831850.44,897255.29,1004857.56,1061943.27,1127195.3,1260981.2,1378222.43,1345994.71,67644640,81961150,97097720,108953900,132252900,129888900,148611200,150698700,153775800,166720000,180214000,553,605,697,738,697,742,706,738,776,840,777,371
GUATAMBÚ,1,1604,4678,4678,4676,4746,4743,4739,4736,4733,4710,4704,4698,1660390.38,1742797.16,2007132.76,2539098.07,3063912.63,3540962.79,3698420.03,4481969.97,4202229.72,4593445.77,4794186.97,177639400,218336600,352934300,388627600,199529900,241440500,241884000,244350000,226280200,253815000,293514000,1915,1818,1806,1974,1980,2079,2019,2160,2103,2163,2284,2472
HERVAL D'OESTE,0,0,21331,21331,21420,21961,22083,22204,22324,22443,22495,22606,22714,3233265.06,3943822.36,4524440.43,4619502.95,5328394.42,4364492.63,5041514.22,6821487.87,7060880.75,6296990.75,6669841.66,317436300,328476200,365992100,378802600,445889100,410796500,393952500,430260400,476452500,482408000,540594000,2966,3111,3208,3109,3237,2697,2889,4101,4116,3152,3503,2318
IBIAM,0,0,1945,1945,1944,1973,1971,1970,1968,1967,1959,1957,1954,61972.81,101872.99,88739.67,95312.44,108404.5,138562.1,213377.53,147467.51,185472.83,229045.15,294630.22,29274790,30321870,30158270,52552080,40292700,42024370,47559870,47325590,53459800,52597000,62632000,89,110,85,81,100,102,126,100,117,142,182,1016
IBICARÉ,0,0,3357,3357,3341,3359,3336,3313,3290,3268,3227,3202,3178,324620.89,424279.07,518692.28,597341.37,685274.43,786485.81,880189.27,952117.92,896118.11,945552.2,1658679.64,49785460,55868150,59566380,72029730,78313910,80617110,94380720,96940210,99571500,113048000,126446000,378,429,448,475,490,499,514,496,475,492,830,8691
IBIRAMA,1,519,17448,17448,17561,18097,18255,18412,18567,18721,18802,18950,19096,4774498.76,5300207.63,6377492.3,7349391.49,8221377.86,8788359.13,9090688.29,9744166.82,10219387.94,11291317.43,11537969.82,269202600,335191300,335644600,344581700,378617100,379668100,387869700,421610500,444095700,471134000,486338000,5395,5209,5397,5634,5195,5128,4944,5022,5093,5327,5454,601
IÇARA,1,154859,59616,59616,49238,51416,52284,53145,53998,54845,55581,56421,57247,14743060.91,16899257.46,20212902.5,23630396.85,26226887.37,27444970.5,28544012.94,31161445.76,35024650.28,36739056.12,41060000.42,1142742000,1242877000,1350906000,1540550000,1832170000,1827679000,1890768000,2102972000,2336748000,2556950000,2775481000,12292,12939,14068,14472,14802,14194,13912,14179,14981,15898,17147,11167
ILHOTA,1,546,12492,12492,12624,13124,13309,13493,13676,13857,14005,14184,14359,2582193.27,2962372.49,3366758.75,3897123.89,4306206.84,4700364.23,5124809.71,5638044.77,6235031.24,6287248.46,6332984.12,206642800,292489500,318454300,356093500,449310300,462779100,632581600,683686600,708734500,724130000,739697000,2573,2630,2659,2705,2769,2721,2724,2891,2950,2906,2944,260
IMARUÍ,1,83908,11540,11540,11411,11301,11117,10933,10752,10571,10326,10135,9948,371549.06,517729.74,660126.49,791411.1,785712.62,888302.8,1051525.4,999036.4,1004509.2,1094835.47,1180699.7,109020400,114892600,124114000,151885600,157060200,163862800,173628000,181532100,196345100,196002000,237231000,447,569,639,696,624,648,692,639,617,646,689,493
IMBITUBA,1,154859,40514,40514,40845,42244,42708,43168,43624,44076,44412,44853,45286,5583202.62,6100165.11,7048895.26,8456609.76,9865177.72,11774529.74,13043866.08,14208662.08,15485598.04,15115334.4,15053970.1,701969400,727707300,824126000,989629900,1074231000,1178408000,1369594000,1548283000,1773195000,2021093000,2148020000,4981,5247,5625,6145,6546,6930,7251,7451,7942,7934,7831,1437
IMBUIA,0,0,5743,5743,5777,5946,5993,6040,6087,6133,6153,6197,6241,347630.12,373395.27,474023.73,583733.55,702334.23,716725.65,767854.54,766514.16,917107.82,1006191.76,1090871.46,84820200,85332600,94828830,113767200,113726900,117462800,133387000,123586300,178458900,174757000,212724000,413,438,464,492,588,525,515,490,565,588,631,368
INDAIAL,1,56918,55980,55980,57068,60433,61968,63489,65000,66497,67923,69425,70900,25764088.29,28544598.31,32855670.88,37980289.44,40579504.17,41413475.57,44505451.09,46559960.22,48418857.14,53546775.85,54018556.75,1425283000,1608948000,1801648000,1834322000,2288292000,2219339000,2321940000,2500546000,2589757000,2976159000,3128704000,20590,20876,21572,22324,22284,21158,20902,21149,21863,23187,23401,597
IOMERÊ,0,0,2754,2754,2768,2842,2861,2880,2899,2917,2927,2945,2962,422278.71,577028.35,655116.22,650464.49,761349.91,908989.3,999491.72,1053609.02,1075743.09,1138544.66,1342707.45,81163840,91155640,74176930,96230140,96019160,92778130,96915530,127194100,124805200,162274000,185751000,455,543,537,487,499,524,541,576,546,577,637,434
IPIRA,0,0,4725,4725,4699,4713,4675,4637,4599,4562,4486,4446,4406,160047.42,180107.49,223695.12,266944.63,286318.94,335033.41,364103.78,382855.35,375498.04,388243.01,380479.42,50378680,56247130,61099080,65818980,75234640,74263620,81058240,84447400,84685060,87799000,97829000,200,200,237,253,257,265,257,265,259,252,241,1199
IPORÃ DO OESTE,0,0,8450,8450,8490,8714,8769,8823,8876,8930,8945,8996,9045,831890.26,1064911.39,1317065.02,1478720.4,1670034.99,1772195.42,1922511.95,2096661.23,2284144.83,2526977.09,2682331.24,121323100,144095300,153921900,177918200,208974400,213006200,243256300,256043200,254540800,293637000,326493000,1004,1190,1293,1349,1419,1327,1347,1348,1367,1431,1472,167
IPUAÇU,0,0,6850,6850,6901,7123,7193,7262,7331,7400,7448,7514,7579,366240.41,480585.36,473183.05,1031360.15,1377830.2,1908886.79,1951830.69,2144737.79,2021491.38,2429010.45,2404546.07,110649900,152522200,221380800,297051500,182540600,227992400,232907800,223156400,223185500,253097000,277344000,371,438,385,814,1007,1153,1131,1199,1168,1282,1245,943
IPUMIRIM,0,0,7245,7245,7268,7435,7467,7499,7530,7561,7565,7593,7620,2004432.67,2691744.7,2873297.03,3171084.15,3762634.88,4295522.28,4405608.68,4561655.84,4798731,5147215.63,5608520.45,163885600,188655900,184712700,210856400,304183200,306611800,309827100,313269400,332210800,356128000,398968000,2341,2707,2796,2752,2833,2955,2846,2875,2902,2897,3085,1928
IRACEMINHA,0,0,4227,4227,4202,4212,4175,4139,4103,4067,4015,3976,3938,138054.82,161771.36,152310.75,179543.76,185678.94,201382.44,210595.39,230953.84,262588.87,291791.52,338366.12,53905910,62604730,62289410,81686190,84882870,87971350,97003880,95684170,98132750,99233000,111997000,202,210,173,185,170,163,162,164,177,181,195,54253
IRANI,0,0,9595,9595,9656,9948,10033,10118,10202,10285,10339,10419,10498,873964.7,1051137.41,1235073.92,1458628.31,1663460.45,1611533.02,1778805.34,1943122.89,1986498.51,2218885.75,2211950.53,115299800,130140000,144769000,180511600,194845800,190920900,196138200,210934200,238409800,242272000,269570000,1039,1121,1184,1212,1238,1129,1113,1132,1115,1183,1228,18554
IRATI,0,0,60357,62808,2067,2067,2046,2025,2004,1984,1952,58433,58699,99294.34,116139.01,173307.13,176234.84,184535.52,185396.13,245284.57,265763.19,274323.65,364915.14,701337.48,64528020,42381590,22055680,44768270,32570420,32948260,39324130,34945540,37201110,38885000,46534000,135,147,212,186,175,157,187,198,205,226,245,2078
IRINEÓPOLIS,0,0,10503,10503,10556,10843,10916,10989,11061,11133,11155,11222,11289,440954.97,473036.53,608141.01,667404.82,875482.56,935721.44,1046542.66,1060246.32,1235444.85,1253773.23,1375321.67,199266300,194032600,202113100,266231700,286181200,281634500,324904900,299113100,347397000,334983000,389770000,490,499,550,539,693,662,644,636,686,711,715,5204
ITÁ,0,0,6401,6401,6375,6420,6383,6347,6311,6275,6209,6169,6129,3616763.51,1292497.48,1428245.21,1701863.02,1912004.62,2089756.5,2320798.27,2570373.93,2668637.28,2768649.05,2902606.26,162658300,159981000,175905200,175332600,211518800,210696800,220124700,240150200,265045800,307852000,374364000,1482,1222,1090,1102,1139,1121,1146,1160,1208,1195,1198,3374
ITAIÓPOLIS,10,949,20395,20395,20485,21015,21139,21263,21385,21506,21556,21669,21780,2433397.5,2701691.59,3795064.52,4714004.08,5303734.63,5686079.21,5742054.27,5762231.86,5955587,5597051.27,6171393.77,359640400,499185600,484723300,530724400,666254400,649003800,677197900,704121700,749483700,772918000,855758000,2557,2644,3241,3665,3849,3587,3312,3555,4014,3579,3821,928
ITAJAÍ,5,2064,186127,186127,188791,197809,201557,205271,208958,212615,215895,219536,223112,80634230.49,95424513.38,108665873.75,124460918.1,151747648.72,155551147.17,158628501.92,170156533.49,175992286.26,186811206.26,200969588.14,10060381000,12178894000,13577096000,15485921000,18072445000,18708229000,19288428000,21932201000,25413432000,28215220000,33084145000,58950,63133,63190,64714,72380,69979,66228,68166,69202,73215,78125,8071
ITAPEMA,1,2601,47327,47327,48807,52923,55016,57089,59147,61187,63250,65312,67338,8477509.25,10841633.16,13622935.14,15725249.08,18551576.65,20981366.8,23235261.01,25797504.42,30695446.96,32115834.63,34875342.73,798638300,922711600,1076310000,1155218000,1352819000,1476770000,1581139000,1698461000,1872017000,2140616000,2406021000,8756,10177,11189,11061,11782,12079,12658,13453,14929,16733,17341,491
ITAPIRANGA,0,0,15518,15518,15623,16107,16253,16398,16541,16683,16736,16872,17007,5229859.91,5554557.02,6114999.26,6541770.65,7197228.36,7984474.06,9188158.64,9576130.56,10471612.39,11944265.89,12465275.1,352392600,479709700,446459900,590528000,670279000,784744200,727686200,753937300,773554200,832983000,945782000,5975,5479,5483,5352,5347,5556,5688,5766,6327,6758,7215,1009
ITAPOÁ,4,2172,15218,15218,15658,16899,17521,18137,18749,19355,19963,20576,21177,1680822.76,2543299.02,3207529.81,4129680.31,4848182.97,5594672.93,6256576.93,7018936.01,7934433.85,7713867.22,8438144.46,179832200,403613000,461132100,632481000,456044800,547472800,617184500,714775200,793233100,919064000,1139768000,1352,1634,1928,2160,2459,2618,2701,2851,3204,3307,3513,3046
ITUPORANGA,1,3,22462,22462,22667,23490,23777,24061,24343,24622,24812,25086,25355,3864960.8,4551232.96,5315640.48,6356345.51,7429360.96,8589091.15,9336552.46,9377062.12,10334560.16,11059873.82,11968173.49,445916300,436303800,518425400,592435600,703407500,702223600,781569700,831856900,933730200,967257000,1109876000,4088,4357,4407,4709,4904,5108,5146,4916,5146,5443,5696,30069
JABORÁ,0,0,4030,4030,4018,4057,4040,4023,4006,3990,3955,3936,3918,338710.79,397010.83,418108.01,456374.49,554430.66,646049.44,707511.97,763420.45,1013226.28,931490.15,1057577.5,78689980,81850790,79823470,101754900,120122500,116182700,123627800,141481200,126921500,139974000,161516000,441,474,453,453,462,487,485,502,533,535,603,200
JACINTO MACHADO,0,0,10585,10585,10562,10677,10642,10608,10573,10539,10457,10416,10376,1409564.87,1664954.79,2017313.88,2292711.7,2661142.05,2861647.02,3237557.51,3442342.92,3439339.51,3721210.84,3959597.17,153791600,148193400,214591100,272987000,254621500,256439800,289946000,322629800,331496400,377316000,454946000,1363,1460,1617,1623,1691,1643,1690,1699,1663,1804,1802,5233
JAGUARUNA,1,154859,17496,17496,17695,18425,18704,18980,19254,19527,19755,20024,20288,1953197.51,2278768.18,2666338.19,3188368.2,3681467.5,4499418.08,4937446.14,5239406.25,6108869.97,6408484.13,6765052.39,221481600,239017600,259030600,304926600,360336800,401205200,456297800,473335500,469914200,581543000,813588000,2269,2454,2541,2750,2897,3081,3129,3116,3275,3527,3884,101692
