Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DOUTOR PEDRINHO,795,817,872,963,987,953,974,980,885,867,838
ENTRE RIOS,50,56,132,94,87,75,85,69,64,65,56
ERMO,128,176,180,220,245,271,278,273,367,631,668
ERVAL VELHO,566,593,612,613,687,677,670,668,624,676,729
FAXINAL DOS GUEDES,3062,3211,2390,3258,3209,3160,2963,3123,3080,3271,3349
FLOR DO SERTÃO,44,129,108,147,131,122,165,146,166,207,228
FLORIANÓPOLIS,127467,136037,141972,147047,153304,149780,146759,142896,147455,154647,147935
FORMOSA DO SUL,102,120,138,167,152,151,148,133,160,143,170
FORQUILHINHA,6073,6216,6565,6748,6878,6182,6422,6411,6380,6893,7333
FRAIBURGO,8690,8592,8395,8256,8688,7840,7356,7387,7421,7290,7412
FREI ROGÉRIO,111,110,114,111,127,126,125,110,116,124,132
GALVÃO,180,176,174,196,174,221,217,198,225,185,201
GAROPABA,3068,3261,3482,3685,3892,4021,4234,4526,4818,4952,5081
GARUVA,2992,3194,3305,3606,3393,3426,3488,3321,3438,3695,3751
GASPAR,18554,19061,18561,18850,19391,18627,19307,20440,21007,22065,22669
GOVERNADOR CELSO RAMOS,987,1059,1028,1423,1542,1658,1633,1848,2005,1818,1713
GRÃO PARÁ,985,1057,1076,1145,1135,1287,1150,1399,1379,1483,1536
GRAVATAL,2109,1908,2201,2127,2179,2263,2183,2260,2246,2264,2308
GUABIRUBA,5035,5243,5528,5728,5940,5634,5739,6007,6172,6555,6374
GUARACIABA,1420,1576,1568,1694,1801,1726,1718,1750,1830,1913,1892
GUARAMIRIM,10477,10828,11200,11768,12013,11189,10598,10977,11177,12029,11918
GUARUJÁ DO SUL,553,605,697,738,697,742,706,738,776,840,777
GUATAMBÚ,1915,1818,1806,1974,1980,2079,2019,2160,2103,2163,2284
HERVAL D'OESTE,2966,3111,3208,3109,3237,2697,2889,4101,4116,3152,3503
IBIAM,89,110,85,81,100,102,126,100,117,142,182
IBICARÉ,378,429,448,475,490,499,514,496,475,492,830
IBIRAMA,5395,5209,5397,5634,5195,5128,4944,5022,5093,5327,5454
IÇARA,12292,12939,14068,14472,14802,14194,13912,14179,14981,15898,17147
ILHOTA,2573,2630,2659,2705,2769,2721,2724,2891,2950,2906,2944
IMARUÍ,447,569,639,696,624,648,692,639,617,646,689
IMBITUBA,4981,5247,5625,6145,6546,6930,7251,7451,7942,7934,7831
IMBUIA,413,438,464,492,588,525,515,490,565,588,631
INDAIAL,20590,20876,21572,22324,22284,21158,20902,21149,21863,23187,23401
IOMERÊ,455,543,537,487,499,524,541,576,546,577,637
IPIRA,200,200,237,253,257,265,257,265,259,252,241
IPORÃ DO OESTE,1004,1190,1293,1349,1419,1327,1347,1348,1367,1431,1472
IPUAÇU,371,438,385,814,1007,1153,1131,1199,1168,1282,1245
IPUMIRIM,2341,2707,2796,2752,2833,2955,2846,2875,2902,2897,3085
IRACEMINHA,202,210,173,185,170,163,162,164,177,181,195
IRANI,1039,1121,1184,1212,1238,1129,1113,1132,1115,1183,1228
IRATI,135,147,212,186,175,157,187,198,205,226,245
IRINEÓPOLIS,490,499,550,539,693,662,644,636,686,711,715
ITÁ,1482,1222,1090,1102,1139,1121,1146,1160,1208,1195,1198
ITAIÓPOLIS,2557,2644,3241,3665,3849,3587,3312,3555,4014,3579,3821
ITAJAÍ,58950,63133,63190,64714,72380,69979,66228,68166,69202,73215,78125
ITAPEMA,8756,10177,11189,11061,11782,12079,12658,13453,14929,16733,17341
ITAPIRANGA,5975,5479,5483,5352,5347,5556,5688,5766,6327,6758,7215
ITAPOÁ,1352,1634,1928,2160,2459,2618,2701,2851,3204,3307,3513
ITUPORANGA,4088,4357,4407,4709,4904,5108,5146,4916,5146,5443,5696
JABORÁ,441,474,453,453,462,487,485,502,533,535,603
JACINTO MACHADO,1363,1460,1617,1623,1691,1643,1690,1699,1663,1804,1802
JAGUARUNA,2269,2454,2541,2750,2897,3081,3129,3116,3275,3527,3884
JARAGUÁ DO SUL,61532,62591,58706,64287,64156,60971,57048,57373,57713,58931,59200
JARDINÓPOLIS,90,97,95,114,93,67,70,66,80,82,114
JOAÇABA,12903,13561,14280,14315,15407,14938,14499,13365,12973,13630,12395
JOINVILLE,161119,168768,171200,176991,182756,174166,167699,173546,188388,188096,188843
JOSÉ BOITEUX,552,615,681,694,752,709,710,742,729,755,747
JUPIÁ,100,82,110,131,145,156,170,164,139,108,148
LACERDÓPOLIS,285,295,328,347,396,400,400,401,410,420,477
LAGES,30613,30934,32339,33642,34657,34483,33634,35092,35232,34866,34958
LAGUNA,4698,4989,5647,6453,6404,5319,5280,5249,5052,4556,4731
LAJEADO GRANDE,149,150,164,128,77,132,133,117,139,124,120
LAURENTINO,1423,1448,1532,1568,1717,1584,1661,1586,1633,1655,1693
LAURO MULLER,2070,2255,2177,2245,2516,2593,2617,2562,2682,2864,2921
LEBON RÉGIS,1368,1526,1431,1417,1430,1324,1424,1468,1514,1411,1368
LEOBERTO LEAL,117,109,161,136,186,166,150,166,153,156,160
LINDÓIA DO SUL,947,1051,906,906,1070,1095,772,457,425,436,433
LONTRAS,2100,2189,2302,2452,2443,2410,2522,2764,2663,2629,2880
LUIZ ALVES,3490,3663,3813,3777,3889,3882,3937,4134,3957,4075,4133
LUZERNA,1089,1217,1275,1381,1394,1411,1275,1200,1280,1361,1506
MACIEIRA,183,178,105,163,180,179,208,177,217,229,206
MAFRA,8871,8920,9308,9752,9784,9591,9527,10896,10864,10310,10346
MAJOR GERCINO,322,400,349,289,350,301,300,269,265,263,221
MAJOR VIEIRA,393,401,399,443,426,383,384,474,506,583,609
MARACAJÁ,1222,1288,1384,1374,1420,1420,1374,1382,1413,1400,1463
MARAVILHA,6683,7206,7598,7515,7514,7387,7475,7586,7924,8499,9140
MAREMA,78,96,94,121,147,132,125,150,120,123,99
MASSARANDUBA,4499,4359,4597,4596,4862,4725,4484,4334,4355,4361,4342
MATOS COSTA,351,281,288,310,307,294,303,231,216,194,178
MELEIRO,894,1080,1018,1019,1047,1024,984,1020,1022,1026,981
MIRIM DOCE,294,294,333,298,354,322,321,256,271,349,364
MODELO,718,816,785,906,891,874,863,746,721,737,737
MONDAÍ,1897,2085,2304,2377,2152,2043,2062,2197,2248,2310,2507
MONTE CARLO,1722,1877,1762,1765,1601,1588,1473,1464,1474,1249,1574
MONTE CASTELO,674,703,694,743,736,695,698,759,789,786,850
MORRO DA FUMAÇA,5170,5806,5882,6001,6246,5960,5604,5467,5287,5436,5315
MORRO GRANDE,1715,2184,1950,1778,1866,1905,1278,360,298,324,311
NAVEGANTES,10565,12591,15703,17792,18936,16557,15801,16271,16513,18231,18780
NOVA ERECHIM,923,1027,1032,1049,1102,1174,1102,1074,1087,1140,1224
NOVA ITABERABA,350,374,405,467,580,495,527,496,508,477,504
NOVA TRENTO,4066,4422,4585,5015,5221,4639,4483,4732,5093,5459,5301
NOVA VENEZA,6047,6557,5742,7755,5789,6406,6022,6402,6177,6220,6465
NOVO HORIZONTE,85,221,90,111,117,312,141,308,161,325,342
ORLEANS,5330,5578,5972,6304,6173,5788,5521,5641,5570,6208,6242
OTACÍLIO COSTA,3501,3749,4270,4294,4310,4329,4212,3937,4010,4204,4251
OURO,685,708,726,734,766,749,691,726,734,839,845
OURO VERDE,101,123,96,115,122,133,134,116,122,112,125
PAIAL,51,45,55,60,53,50,60,68,83,92,114
PAINEL,108,109,94,208,231,193,276,247,204,168,262
PALHOÇA,26622,28726,30927,32041,33701,32763,31762,32329,35785,37545,40187
PALMA SOLA,1130,1203,1179,1308,1241,1287,1239,1207,1363,1346,1376
PALMEIRA,313,328,352,400,417,410,412,438,405,419,484
PALMITOS,2161,2289,2476,2705,2687,2718,3039,3245,3390,3657,3832
PAPANDUVA,2120,2238,2376,2719,3021,2955,2970,3127,3124,2892,3278
PARAÍSO,144,181,349,405,250,433,440,427,463,471,463
PASSO DE TORRES,396,423,493,523,563,619,659,735,754,788,853
PASSOS MAIA,468,539,569,586,656,687,657,655,686,666,622
PAULO LOPES,1212,1225,1215,1367,1440,1403,1323,1317,1288,1265,1292
PEDRAS GRANDES,598,726,644,614,636,648,841,829,864,833,1063
PENHA,3841,3990,4339,4844,4764,5021,4917,5301,5553,5777,6031
PERITIBA,313,309,328,343,364,382,383,360,400,387,406
PESCARIA BRAVA,75,75,75,75,222,300,217,211,289,332,359
PETROLÂNDIA,641,609,641,671,689,700,730,746,687,694,743
PINHALZINHO,4508,4984,5154,5538,6039,6104,5915,5953,6078,6467,7078
PINHEIRO PRETO,720,887,916,904,931,965,1031,1115,1232,1229,1426
PIRATUBA,1056,1113,1164,1269,1296,1270,1214,1228,1213,1261,1028
PLANALTO ALEGRE,209,244,250,257,261,304,327,397,411,430,430
POMERODE,11214,11441,11823,12326,12516,12045,12008,12610,12791,12388,12092
PONTE ALTA,437,432,470,494,531,493,432,432,446,486,474
PONTE ALTA DO NORTE,549,584,535,588,596,592,630,668,705,680,711
PONTE SERRADA,1655,1816,1832,1765,1829,1819,1764,1579,1471,1431,1471
PORTO BELO,2959,3302,3495,3948,4259,4198,4002,4807,5544,5496,5985
PORTO UNIÃO,3743,3953,4328,4439,4571,4405,4398,4464,4666,5078,5385
POUSO REDONDO,3225,3286,3505,3682,4006,3888,3861,3993,3952,4161,4301
PRAIA GRANDE,953,1038,1109,1110,1159,1036,981,978,989,1101,1079
PRESIDENTE CASTELLO BRANCO,44,56,70,77,69,91,95,98,108,123,132
PRESIDENTE GETÚLIO,4500,4873,5197,5331,5603,5757,5847,6001,6187,6378,6379
PRESIDENTE NEREU,121,112,122,131,139,149,138,139,132,152,141
PRINCESA,291,321,355,396,421,398,471,476,512,484,508
QUILOMBO,2089,2245,2355,2435,2425,2431,2373,2405,2286,2371,2852
RANCHO QUEIMADO,274,333,325,326,337,354,331,338,354,350,345
RIO DAS ANTAS,887,930,913,953,963,935,1012,917,789,758,842
RIO DO CAMPO,680,730,790,1082,919,856,879,797,803,848,847
RIO DO OESTE,975,1130,1212,1255,1243,1203,1182,1201,1151,1181,1164
RIO DO SUL,24575,25024,22286,22127,21233,20107,19572,19876,20017,20204,21133
RIO DOS CEDROS,2585,2522,2631,2734,2916,2923,2814,2752,2889,3056,3213
RIO FORTUNA,601,649,699,789,834,845,798,797,758,788,854
RIO NEGRINHO,9084,9322,9644,9818,9925,9722,9560,9614,10049,10307,10533
RIO RUFINO,107,154,124,127,149,126,140,189,193,205,207
RIQUEZA,364,396,423,441,449,440,431,443,420,456,531
RODEIO,2974,3124,3059,3139,3011,2782,2735,2664,2451,2451,2372
ROMELÂNDIA,160,169,157,216,204,185,180,212,140,129,161
SALETE,1631,1568,1612,1755,1853,1811,1770,1742,1858,1821,1694
SALTINHO,168,203,200,230,218,228,240,279,290,326,339
SALTO VELOSO,1235,1265,1272,1253,1334,1189,1166,1234,1315,1341,1446
SANGÃO,3580,3891,3941,4068,3849,3629,3364,3337,3427,3471,3534
SANTA CECÍLIA,3675,3609,3568,4009,3848,3772,3855,3887,3829,3689,3768
SANTA HELENA,179,199,192,217,230,252,237,265,254,268,305
SANTA ROSA DE LIMA,96,143,164,167,165,175,175,170,198,182,193
SANTA ROSA DO SUL,693,704,785,834,860,817,743,666,710,753,758
SANTA TEREZINHA,224,229,246,293,286,313,325,336,344,401,440
SANTA TEREZINHA DO PROGRESSO,46,67,87,85,96,102,100,88,101,112,111
SANTIAGO DO SUL,71,89,99,112,120,128,118,107,110,125,150
SANTO AMARO DA IMPERATRIZ,3910,3960,4016,4589,4843,4514,4273,4130,4430,4871,4942
SÃO BENTO DO SUL,23076,23316,23902,24645,25260,24284,23539,22921,23792,24162,25420
SÃO BERNARDINO,88,125,129,128,172,190,142,202,235,236,233
SÃO BONIFÁCIO,216,237,223,247,255,253,260,268,282,294,299
SÃO CARLOS,1799,2004,1980,2036,1882,1925,1917,2019,2112,2277,2100
SÃO CRISTOVÃO DO SUL,839,899,999,1031,994,1022,1105,1200,1231,1153,1292
SÃO DOMINGOS,1399,1074,1061,1129,1157,1129,1151,1162,1119,1078,1094
SÃO FRANCISCO DO SUL,6309,6705,7090,7454,7749,7765,7239,7237,7619,7992,8094
SÃO JOÃO BATISTA,8112,7733,7924,8298,7822,7329,7541,7863,7951,8238,6982
SÃO JOÃO DO ITAPERIÚ,450,504,609,680,812,849,882,1041,1085,1088,1135
SÃO JOÃO DO OESTE,642,736,763,802,861,916,946,1001,1092,1252,1346
SÃO JOÃO DO SUL,328,346,424,696,796,789,779,770,744,736,735
SÃO JOAQUIM,4904,4816,4914,4968,4979,4872,4986,5105,5125,5468,5200
SÃO JOSÉ,72600,78819,87189,95863,96667,95212,90642,91762,88243,93792,102221
SÃO JOSÉ DO CEDRO,2290,2408,2448,2472,2544,2521,2508,2519,2597,2502,2429
SÃO JOSÉ DO CERRITO,354,347,388,385,418,398,405,423,482,481,462
SÃO LOURENÇO DO OESTE,6899,6991,7310,7597,7792,7472,7681,7595,8495,9146,8907
SÃO LUDGERO,3325,3396,3787,3867,3983,3930,3927,4104,4310,4547,4659
SÃO MARTINHO,399,433,455,479,516,518,505,531,493,533,549
SÃO MIGUEL DA BOA VISTA,25,25,30,40,33,36,33,34,30,34,32
SÃO MIGUEL DO OESTE,8706,9198,9281,9795,10508,10445,10577,10720,11089,11628,12036
SÃO PEDRO DE ALCÂNTARA,658,765,785,255,293,307,306,308,277,273,273
SAUDADES,2438,2429,2229,2551,2646,2684,2403,2431,2620,2646,2767
SCHROEDER,3366,3549,3409,3427,3749,3424,3318,3489,3378,3451,3562
SEARA,5342,5268,5268,4978,5032,5674,5790,5921,6153,6381,7641
SERRA ALTA,555,551,579,641,640,633,607,576,581,603,609
SIDERÓPOLIS,3087,3250,3145,3288,3009,2896,2706,2658,2703,2994,3019
SOMBRIO,5573,5714,5959,5990,6005,5787,5905,5920,5936,6089,5562
SUL BRASIL,222,238,283,265,261,250,216,194,203,217,223
TAIÓ,3871,4062,4351,4329,4141,4155,4215,4185,4270,4454,4438
TANGARÁ,1622,1757,1697,1724,1845,1795,1820,1869,1906,1882,1897
TIGRINHOS,30,39,54,51,59,58,51,68,82,88,90
TIJUCAS,8171,8373,8989,9785,10327,10268,10295,10380,11489,11958,12755
TIMBÉ DO SUL,380,406,463,489,453,406,406,414,432,412,401
TIMBÓ,14505,14434,14877,15118,15202,14641,14627,15059,15088,15878,16486
TIMBÓ GRANDE,860,1111,981,1242,1240,1202,1191,1277,1255,1258,1224
TRÊS BARRAS,3359,3608,3784,4020,4347,4121,4170,4273,4482,4792,4725
TREVISO,1354,1408,1240,1624,1680,1521,1436,1461,1443,1358,1374
TREZE DE MAIO,1252,1425,1479,1545,1505,1519,1610,1568,1607,1646,1561
